0.0.1.4	13	001AD0QA8HAK9YYO	Nuclear Structure----Mathematical Models Symplectic Manifolds+LCSH	42.81510.23519.42.2858.989.173.230.215.199.193.89.88.88.120.113.64.61.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	14	0021OTN1J3Y0Z6PA	Chemical Actions And Uses----Pharmacologic Actions----Therapeutic Uses----Anti-Infective Agents----Anti-Viral Agents----Anti-Retroviral Agents----Anti-Hiv Agents+MeSH	66.66.66.66.5105.3909.2547.1522.999.107.106.105.104.88.120.113.64.61.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	15	0023OZAF4U9Z0I84	Non-Linear Systems----Lyapunov Functions----Hybrid Power Systems----Mathematical Models+LCSH	68.76865.68.68.4348.3440.793.48.47.46.45.45.45.45.47.46.92.87.216.133.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	16	0023XHOYMBXOL3RF	Waste Disposal----Refuse Collection Vehicles+LCSH	69.69.69.69.10721.6653.2298.762.244.218.45.45.45.45.47.46.92.87.216.133.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	17	002DR43YMWHL2T2D	Environmental Sciences, Droughts----History, Droughts----Mediterranean Region+LCSH	77.79252.35056.3547.10792.1190.468.1824.928.577.127.126.125.122.125.118.71.67.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	18	00317TSPAD1RONRJ	Immune System Phenomena----Immune System Processes----Transplantation Immunology----Host Vs Graft Reaction----Graft Rejection+MeSH	102.41203.27357.11938.4949.3821.757.1954.1180.661.127.126.125.122.125.118.71.67.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	19	0036T9V8WBFQR71E	Electric Current Converters----Capacitors----Electric Charge And Distribution+LCSH	110.110.109.110.8988.1776.1876.1241.564.413.378.364.355.337.490.48.314.280.32.32.31.148.123.92.71.56.24.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	20	003ATK74MGGDNZP3	Spectrum Analysis----Particles (Nuclear Physics)----Acceleration (Mechanics)+LCSH	114.114.113.114.10442.6403.1250.1954.1180.661.127.126.125.122.125.118.71.67.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	21	0040EH4JC4GCPGKI	Science----Physical Sciences----Astronomy----(Cosmology) Antartica, Telescopes+LCSH	141.53520.140.141.4952.3823.61.460.414.332.45.45.45.45.47.46.92.87.216.133.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	22	004B2GR2DZZ1726S	Engineering----Mechanical Engineering----Deformations Mechanics,+LCSH	152.77709.151.387.10873.6783.2684.2004.1196.285.272.266.260.250.347.314.152.140.112.62.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	23	0054EBZVQJWMRO8D	Therapeutics----Bariatrics----Bariatric Surgery----Gastric Bypass+MeSH; Amino Acids, Peptides, And Proteins----Peptides----Intracellular Signaling Peptides And Proteins----Cytokines----Chemokines----Chemokines, Cc----Monocyte Chemoattractant Proteins+MeSH	176.176.175.176.3324.2775.2561.818.662.239.228.217.213.206.104.97.146.136.177.154.135.148.123.92.71.56.24.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	24	005G4N16G3P1ORQU	Therapeutics----Biological Therapy----Immunomodulation----Immunotherapy+MeSH; Neoplasms----Neoplasms By Site----Urogenital Neoplasms----Genital Neoplasms, Female----Uterine Neoplasms----Uterine Cervical Neoplasms+MeSH	189.189.188.189.6293.4489.459.459.413.285.272.266.260.250.347.314.152.140.112.62.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	25	005J6XVWG8ES720S	Business----International Business Enterprises----Human Capital+LCSH	192.192.191.192.5294.4007.2276.1052.707.484.180.177.173.169.125.118.71.67.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	26	005UXZ0Q1LNU6PKR	Bacteria----Gram-Positive Bacteria----Gram-Positive Cocci----Streptococcaceae----Streptococcus----Viridans Streptococci----Streptococcus Mutans+MeSH; Microbiological Phenomena----Biofilms+MeSH	199.199.198.199.9621.4385.814.431.389.239.228.217.213.206.104.97.146.136.177.154.135.148.123.92.71.56.24.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	27	00626F5E5Q4J752O	Biodiversity----Honduras, Reptiles--Honduras, Park Nacional Rio Bonito----(Honduras)+LCSH	208.208.207.208.9588.485.3098.1188.769.519.466.448.429.402.478.420.28.27.152.133.58.9.8.8.8.8.1.1.1.8.4.17.11.5.4.1.0.0
0.0.1.4	28	006XCJDRGC5RLO5S	Eukaryota----Plants----Viridiplantae----Streptophyta----Embryophyta----Angiosperms----Myrtaceae----Eucalyptus+MeSH; Chemical Actions And Uses----Pharmacologic Actions----Therapeutic Uses----Anti-Infective Agents----Antiparasitic Agents----Anthelmintics+MeSH	238.238.237.238.5183.3191.819.2142.882.466.423.406.125.122.125.118.71.67.111.100.91.69.60.46.76.8.1.1.1.8.4.17.11.5.4.1.0.0
